smiles,malaria,group
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,1,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,1,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C1=O,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O1,0,test
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O1,1,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,1,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NC(=O)c3ccccc3)cc2C1=O,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccccc3)ccc2O1,0,val
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,1,val
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,1,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,0,test
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2C1=O,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NS(C)(=O)=O)cc2C1=O,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0,test
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)OCCCC[C@@H](C)Oc2ccc(NS(C)(=O)=O)cc2C1=O,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,1,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(C)(=O)=O)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,val
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C1=O,0,test
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C1=O,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,val
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Cc3ccccc3)ccc2O1,0,val
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2C1=O,1,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,test
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O1,1,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2C1=O,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2C1=O,0,test
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccc(F)cc3)cc2C1=O,0,val
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,val
C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,test
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,test
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccc(F)cc3)ccc2O1,0,val
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3cccc4ccccc34)cc2C1=O,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,val
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1,val
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3cccc4ccccc34)cc2C1=O,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,0,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1,val
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1,val
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3cccc4ccccc34)ccc2O1,1,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,test
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,test
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,val
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,1,test
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,1,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,test
C[C@@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,val
C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,val
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,val
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C1=O,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccc2c(c1)OCO2,0,training
C[C@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccc2c(c1)OCO2,0,val
C[C@@H]1CCCCO[C@H](CN(C)Cc2ccc3c(c2)OCO3)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,1,training
C[C@H]1CCCCO[C@@H](CN(C)Cc2ccc3c(c2)OCO3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,0,training
C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc3c(c2)OCO3)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2C1=O,0,training
C[C@H]1CN([C@H](C)CO)C(=O)c2cc(NC(=O)CCCCCC(=O)Nc3ccccc3N)ccc2O[C@H](C)CCCCO[C@H]1CN(C)Cc1ccccc1,1,training
C[C@H]1CN([C@@H](C)CO)C(=O)c2cc(NC(=O)CCCCCC(=O)Nc3ccccc3N)ccc2O[C@H](C)CCCCO[C@@H]1CN(C)Cc1ccccc1,0,training
